Callers,10,Capacity,1
,FCFS 1,,,CF1,,,Greed1
chance,max,total,average,max,total,average,max,total,average
10,2101.0,17057.0,1705.7,2008.0,16453.0,1645.3,2028.0,16503.0,1650.3,
15,2210.0,18628.0,1862.8,2029.0,17390.0,1739.0,2024.0,17343.0,1734.3,
20,2222.0,18919.0,1891.9,2063.0,17588.0,1758.8,1999.0,17245.0,1724.5,
25,2201.0,16786.0,1678.6,1927.0,16046.0,1604.6,1927.0,16046.0,1604.6,
30,2080.0,18465.0,1846.5,2002.0,16986.0,1698.6,2014.0,17034.0,1703.4,
35,2321.0,18315.0,1831.5,2047.0,17118.0,1711.8,2051.0,17132.0,1713.2,
40,2297.0,19450.0,1945.0,2035.0,17738.0,1773.8,2047.0,17834.0,1783.4,
45,2244.0,19415.0,1941.5,2009.0,17746.0,1774.6,1979.0,17516.0,1751.6,
50,2394.0,18639.0,1863.9,2117.0,17618.0,1761.8,2102.0,17563.0,1756.3,
55,2316.0,19347.0,1934.7,2017.0,17614.0,1761.4,2022.0,17866.0,1786.6,
60,2247.0,18492.0,1849.2,2008.0,17852.0,1785.2,1953.0,17592.0,1759.2,
65,2313.0,19707.0,1970.7,2105.0,18350.0,1835.0,2113.0,18399.0,1839.9,
70,2233.0,19552.0,1955.2,2192.0,18878.0,1887.8,2189.0,18864.0,1886.4,
75,2214.0,18658.0,1865.8,2089.0,17613.0,1761.3,2091.0,17627.0,1762.7,
80,2384.0,18257.0,1825.7,2089.0,17229.0,1722.9,2089.0,17229.0,1722.9,
85,2296.0,18606.0,1860.6,2077.0,17481.0,1748.1,2077.0,17481.0,1748.1,
90,2378.0,18989.0,1898.9,2140.0,17747.0,1774.7,2140.0,17747.0,1774.7,
95,2276.0,18690.0,1869.0,2004.0,17930.0,1793.0,1966.0,17597.0,1759.7,


Callers,100,Capacity,5
,FCFS 5,,,CF5,,,Greed5
chance,max,total,average,max,total,average,max,total,average
5,8029.0,494391.0,4943.91,4986.0,329836.0,3298.36,6117.0,412636.0,4126.36,
10,11421.0,662249.0,6622.49,6813.0,498138.0,4981.38,7649.0,542854.0,5428.54,
15,11343.0,682890.0,6828.9,6967.0,503258.0,5032.58,7969.0,555357.0,5553.57,
20,11153.0,648680.0,6486.8,7317.0,503604.0,5036.04,7958.0,535453.0,5354.53,
25,10762.0,620405.0,6204.05,7465.0,502218.0,5022.18,8228.0,527531.0,5275.31,
30,12631.0,700897.0,7008.97,7983.0,557607.0,5576.07,8771.0,584175.0,5841.75,
35,13027.0,732893.0,7328.93,8372.0,573782.0,5737.82,8856.0,597058.0,5970.58,
40,11811.0,664542.0,6645.42,8344.0,547456.0,5474.56,8739.0,568602.0,5686.02,
45,11809.0,696918.0,6969.18,7958.0,547048.0,5470.48,8254.0,566214.0,5662.14,
50,12540.0,692393.0,6923.93,8320.0,549528.0,5495.28,8489.0,560664.0,5606.64,
55,12473.0,705683.0,7056.83,8666.0,574308.0,5743.08,8922.0,590037.0,5900.37,
60,12985.0,748018.0,7480.18,8522.0,575134.0,5751.34,8899.0,601405.0,6014.05,
65,12807.0,722500.0,7225.0,8480.0,567603.0,5676.03,8957.0,591295.0,5912.95,
70,12472.0,712769.0,7127.69,8404.0,562833.0,5628.33,8696.0,573130.0,5731.3,
75,11646.0,697904.0,6979.04,7934.0,553672.0,5536.72,8323.0,577739.0,5777.39,
80,13210.0,738384.0,7383.84,8466.0,585820.0,5858.2,8794.0,601269.0,6012.69,
85,11752.0,702747.0,7027.47,8740.0,577258.0,5772.58,8980.0,592696.0,5926.96,
90,13258.0,726779.0,7267.79,8375.0,573086.0,5730.86,9187.0,603078.0,6030.78,
